latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-12.53149032,40.48492327,30.9761,0.8199,"POLYGON((40.4849435772425 -12.5315197115572, 40.4849541182004 -12.5314717860264, 40.4849029569117 -12.5314609249637, 40.4848924159445 -12.5315088504936, 40.4849435772425 -12.5315197115572))",5HV2FF9M+CX38
-12.53117298,40.48537807,67.4263,0.8058,"POLYGON((40.48543999979 -12.5311801812925, 40.4853411580706 -12.5311235945034, 40.4853161327786 -12.5311657857934, 40.485414974511 -12.5312223725903, 40.48543999979 -12.5311801812925))",5HV2FF9P+G5J2
-12.49626008,40.47384090,57.8586,0.8131,"POLYGON((40.4738941212758 -12.4962478492794, 40.4738000260443 -12.4962244374072, 40.4737876898508 -12.4962723059142, 40.4738817850994 -12.4962957177889, 40.4738941212758 -12.4962478492794))",5HV2GF3F+FGWH
-12.53016689,40.52170128,19.8603,0.7502,"POLYGON((40.5217199320923 -12.5301891447167, 40.5217189914491 -12.530143925972, 40.5216826180771 -12.5301446562872, 40.521683558714 -12.5301898750326, 40.5217199320923 -12.5301891447167))",5HV2FG9C+WMP7
-12.53023210,40.52087342,11.6854,0.6919,"POLYGON((40.5208938158324 -12.5302414519791, 40.5208873718285 -12.5302147667738, 40.5208530246814 -12.5302227724415, 40.5208594686822 -12.530249457648, 40.5208938158324 -12.5302414519791))",5HV2FG9C+W85Q
-12.53144231,40.48546200,20.3520,0.7307,"POLYGON((40.4854921088713 -12.53143512889, 40.4854689676183 -12.5314126487496, 40.4854318863712 -12.531449492155, 40.4854550276258 -12.5314719722993, 40.4854921088713 -12.53143512889))",5HV2FF9P+C5G9
-12.53060451,40.52215256,23.0799,0.6993,"POLYGON((40.5221811653944 -12.5306174223261, 40.5221600257723 -12.530574456504, 40.5221239498882 -12.5305915886397, 40.5221450895064 -12.5306345544651, 40.5221811653944 -12.5306174223261))",5HV2FG9C+QV2X
-12.49649223,40.47384802,15.0827,0.8036,"POLYGON((40.4738710751718 -12.4965030007864, 40.473863785376 -12.4964724878529, 40.4738249756983 -12.4964814396048, 40.47383226549 -12.4965119525398, 40.4738710751718 -12.4965030007864))",5HV2GF3F+CG56
-12.53004262,40.52132685,19.0990,0.7036,"POLYGON((40.5213576280841 -12.5300514442885, 40.5213530098482 -12.5300244085996, 40.521296084027 -12.530033794374, 40.5213007022578 -12.5300608300644, 40.5213576280841 -12.5300514442885))",5HV2FG9C+XGP7
-12.53155975,40.48487812,32.7598,0.7902,"POLYGON((40.4849088209322 -12.5315811053558, 40.4849059719524 -12.531534905718, 40.48484743747 -12.5315383897245, 40.4848502864395 -12.5315845893641, 40.4849088209322 -12.5315811053558))",5HV2FF9M+9XCJ
